"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"Improves resilience during port failures",,"Learn More","https://learn.microsoft.com/en-us/azure/expressroute/expressroute-erdirect-about?source=recommendations#circuit-sizes","False","0bee356b-7348-4799-8cab-0c71ffe13018","arg","Ensure you do not over-subscribe an ExpressRoute Direct","False","Scalability","Microsoft.Network/ExpressRoutePorts","Provisioning ExpressRoute circuits on a 10-Gbps or 100-Gbps ExpressRoute Direct resource up to 20-Gbps or 200-Gbps is possible but not recommended for resiliency. If an ExpressRoute Direct port fails, and circuits are using full capacity, the remaining port won't handle the extra load.
","High",,"Verified","Active","arg"
"Optimizes network, prevents congestion",,"Learn More","https://learn.microsoft.com/en-us/azure/expressroute/rate-limit","False","d40c769d-2f08-4980-8d8f-a386946276e6","no","Implement rate-limiting across ExpressRoute Direct Circuits to optimize network flow","False","Scalability","Microsoft.Network/ExpressRoutePorts","Rate limiting controls traffic volume between on-premises networks and Azure via ExpressRoute Direct, applying to private or Microsoft peering. It distributes port bandwidth, ensures stability, and prevents congestion, with steps outlined for enabling on circuits.
","Medium",,"Verified","Active","none"
"Reduces false positives, improves access",,"Learn More","https://learn.microsoft.com/azure/web-application-firewall/afds/waf-front-door-monitor?pivots=front-door-standard-premium#access-logs","False","d0cfe47f-686b-5043-bf83-5a3868acb80a","no","Inspect Azure Front Door WAF logs for wrongfully blocked legitimate requests","False","Monitoring and Alerting","Microsoft.Network/frontdoorWebApplicationFirewallPolicies","WAF may mistakenly block legitimate requests (false positives). These can be identified by examining the last 24 hours of blocked requests in Log Analytics.
","Medium",,"Preview","Active","none"
"Improve false positive identification",,"Learn More","https://learn.microsoft.com/azure/web-application-firewall/ag/application-gateway-waf-metrics#logs-and-diagnostics","False","537b4d94-edd1-4041-b13d-8217dfa485f0","no","Check Azure Application Gateway WAF logs for mistakenly blocked valid requests","False","Monitoring and Alerting","Microsoft.Network/frontdoorWebApplicationFirewallPolicies","WAF may block legitimate requests as false positives. Identifying blocked requests within the last 24 hours through Log Analytics can help manage and mitigate these incorrect blockages efficiently.
","Medium",,"Preview","Active","none"
"Enhanced security & health insight",,"Learn More","https://learn.microsoft.com/azure/web-application-firewall/ag/ag-overview#waf-monitoring","False","5357ae22-0f52-1a49-9fd4-1f00ace6add0","no","Monitor Web Application Firewall","False","Monitoring and Alerting","Microsoft.Network/frontdoorWebApplicationFirewallPolicies","Monitoring the health of your Web Application Firewall and the applications it protects is crucial. This can be achieved through integration with Microsoft Defender for Cloud, Azure Monitor, and Azure Monitor logs, ensuring optimal performance and security.
","Medium",,"Preview","Active","none"
"Enhanced reliability & SLA support",,"Learn More","https://learn.microsoft.com/azure/architecture/framework/services/networking/azure-load-balancer/reliability","False","38c3bca1-97a1-eb42-8cd3-838b243f35ba","arg","Use Standard Load Balancer SKU","False","High Availability","Microsoft.Network/loadBalancers","Selecting Standard SKU Load Balancer enhances reliability through availability zones and zone resiliency, ensuring deployments withstand zone and region failures. Unlike Basic, it supports global load balancing and offers an SLA.
","High",,"Verified","Active","arg"
"Enhances reliability & scalability",,"Learn More","https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#azure-load-balancer","False","6d82d042-6d61-ad49-86f0-6a5455398081","arg","Ensure the Backend Pool contains at least two instances","False","High Availability","Microsoft.Network/loadBalancers","Deploying Azure Load Balancers with at least two instances in the backend prevents a single point of failure and supports scalability. Pairing with Virtual Machine Scale Sets is advised for optimal scale building.
","High",,"Verified","Active","arg"
"Enhanced scalability and reliability",,"Learn More","https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#azure-load-balancer","False","8d319a05-677b-944f-b9b4-ca0fb42e883c","arg","Use NAT Gateway instead of Outbound Rules for Production Workloads","False","High Availability","Microsoft.Network/loadBalancers","Outbound rules for Standard Public Load Balancer involve manual port allocation for backend pools, limiting scalability and risk of SNAT port exhaustion. NAT Gateway is recommended for its dynamic scaling and secure internet connectivity.
","Medium",,"Verified","Active","arg"
"Enhances uptime & resilience",,"Learn More","https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-standard-availability-zones#zone-redundant","False","621dbc78-3745-4d32-8eac-9e65b27b7512","arg","Ensure Standard Load Balancer is zone-redundant","False","High Availability","Microsoft.Network/loadBalancers","In regions with Availability Zones, assigning a zone-redundant frontend IP to a Standard Load Balancer ensures continuous traffic distribution even if one availability zone fails, provided other healthy zones and backend instances are available to receive the traffic.
","High",,"Verified","Active","arg"
"Enhanced monitoring & security insights",,"Learn More","https://learn.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings","False","d2976d3e-294b-4b49-a1f0-c42566a3758f","no","Configure Diagnostic Settings for all network security groups","False","Monitoring and Alerting","Microsoft.Network/networkSecurityGroups","Resource Logs are not collected and stored until you create a diagnostic setting and route them to one or more locations.
","Medium",,"Preview","Active","none"
"Enhanced security and change monitoring",,"Learn More","https://learn.microsoft.com/azure/azure-monitor/essentials/activity-log?tabs=powershell","False","8bb4a57b-55e4-d24e-9c19-2679d8bc779f","arg","Monitor changes in Network Security Groups with Azure Monitor","False","Monitoring and Alerting","Microsoft.Network/networkSecurityGroups","Create Alerts with Azure Monitor for operations like creating or updating Network Security Group rules to catch unauthorized/undesired changes to resources and spot attempts to bypass firewalls or access resources from the outside.
","Low",,"Preview","Active","arg"
"Prevents accidental edits/deletions",,"Learn More","https://learn.microsoft.com/azure/azure-resource-manager/management/lock-resources?toc=%2Fazure%2Fvirtual-network%2Ftoc.json&tabs=json","False","52ac35e8-9c3e-f84d-8ce8-2fab955333d3","no","Configure locks for Network Security Groups to avoid accidental changes and/or deletion","False","Governance","Microsoft.Network/networkSecurityGroups","As an administrator, you can lock an Azure subscription, resource group, or resource to protect them from accidental deletions and modifications. The lock overrides user permissions. Locks can prevent either deletions or modifications and are known as Delete and Read-only in the portal.
","Low",,"Preview","Active","none"
"Enhances security & optimizes network",,"Learn More","https://learn.microsoft.com/azure/network-watcher/network-watcher-nsg-flow-logging-overview","False","da1a3c06-d1d5-a940-9a99-fcc05966fe7c","arg","Configure NSG Flow Logs","False","Monitoring and Alerting","Microsoft.Network/networkSecurityGroups","Monitoring, managing, and understanding your network is crucial for protection and optimization. Knowing the current state, who and from where connections are made, open internet ports, expected and irregular behavior, and traffic spikes is essential.
","Medium",,"Preview","Active","arg"
"Enhanced traffic control & security",,"Learn More","https://learn.microsoft.com/azure/virtual-network/network-security-groups-overview#security-rules","False","8291c1fa-650c-b44b-b008-4deb7465919d","arg","The NSG only has Default Security Rules, make sure to configure the necessary rules","False","Security","Microsoft.Network/networkSecurityGroups","Azure network security groups filter network traffic between resources in a virtual network, using security rules to allow or deny inbound or outbound traffic based on source, destination, port, and protocol.
","Medium",,"Preview","Active","arg"
"Enhanced monitoring & diagnostics for Azure IaaS",,"Learn More","https://learn.microsoft.com/azure/network-watcher/network-watcher-overview","False","4e133bd0-8762-bc40-a95b-b29142427d73","arg","Deploy Network Watcher in all regions where you have networking services","False","Monitoring and Alerting","Microsoft.Network/networkWatchers","Azure Network Watcher offers tools for monitoring, diagnosing, viewing metrics, and managing logs for IaaS resources. It helps maintain the health of VMs, VNets, application gateways, load balancers, but not for PaaS or Web analytics.
","Low",,"Preview","Active","arg"
"Ensures IP traffic logging",,"Learn More","https://learn.microsoft.com/azure/network-watcher/nsg-flow-logging","False","22a769ed-0ecb-8b49-bafe-8f52e6373d9c","arg","Fix Flow Log configurations in Failed state or Disabled Status","False","Monitoring and Alerting","Microsoft.Network/networkWatchers","Network security group flow logging is a feature of Azure Network Watcher that logs IP traffic info through a network security group. If in Failed state, monitoring data from the associated resource is not collected.
","Low",,"Preview","Active","arg"
"Prevents DNS outages",,"Learn More","https://learn.microsoft.com/en-us/azure/dns/dns-protect-private-zones-recordsets","False","2820f6d6-a23c-7a40-aec5-506f3bd1aeb6","no","Protect private DNS zones and records","False","Security","Microsoft.Network/privateDnsZones","Private DNS zones and records are critical and their deletion can cause service outages. To protect against unauthorized or accidental changes, the Private DNS Zone Contributor role, a built-in role for managing these resources, should be assigned to specific users or groups.
","Medium",,"Preview","Active","none"
